date,open,close,high,low,volume
2020-01-02,3.371,3.370,3.377,3.368,3818438
2020-01-03,3.392,3.422,3.428,3.390,3679150
2020-01-06,3.496,3.497,3.510,3.493,4607805
2020-01-07,3.472,3.466,3.475,3.447,3610570
2020-01-08,3.547,3.531,3.560,3.511,5462982
2020-01-09,3.440,3.408,3.451,3.397,4458190
2020-01-10,3.413,3.418,3.425,3.413,2720508
2020-01-13,3.423,3.418,3.435,3.413,4304742
2020-01-14,3.368,3.374,3.376,3.363,4245021
2020-01-15,3.398,3.403,3.414,3.395,4208754
2020-01-16,3.413,3.406,3.420,3.403,4914062
2020-01-17,3.402,3.404,3.410,3.400,3332207
2020-01-20,3.407,3.405,3.410,3.403,4300936
2020-01-21,3.425,3.437,3.449,3.424,5093903
2020-01-22,3.409,3.407,3.419,3.401,3599605
2020-01-23,3.428,3.430,3.437,3.421,2561210
2020-02-03,3.510,3.520,3.527,3.510,3510865
2020-02-04,3.509,3.492,3.512,3.488,3354436
2020-02-05,3.459,3.469,3.476,3.453,3919754
2020-02-06,3.448,3.452,3.454,3.439,3561826
2020-02-07,3.480,3.468,3.482,3.463,2154367
2020-02-10,3.491,3.481,3.497,3.479,3398724
2020-02-11,3.479,3.472,3.482,3.470,2724622
2020-02-12,3.466,3.465,3.470,3.459,3719462
2020-02-13,3.474,3.490,3.493,3.474,3195844
2020-02-14,3.495,3.494,3.498,3.486,1981475
2020-02-17,3.509,3.505,3.511,3.502,2969656
2020-02-18,3.514,3.522,3.523,3.514,4114441
2020-02-19,3.563,3.562,3.569,3.555,4071301
2020-02-20,3.568,3.574,3.595,3.568,3440325
2020-02-21,3.611,3.646,3.648,3.611,4474054
2020-02-24,3.728,3.725,3.730,3.707,5965415
2020-02-25,3.679,3.648,3.703,3.640,9155551
2020-02-26,3.667,3.668,3.678,3.632,7777393
2020-02-27,3.665,3.669,3.690,3.665,6056712
2020-02-28,3.652,3.623,3.660,3.605,5007922
2020-03-02,3.549,3.542,3.556,3.516,6044725
2020-03-03,3.532,3.536,3.542,3.530,4407032
2020-03-04,3.608,3.612,3.628,3.607,5367900
2020-03-05,3.603,3.611,3.612,3.600,3805619
2020-03-06,3.677,3.686,3.705,3.672,5135924
2020-03-09,3.716,3.659,3.728,3.317,7116914
2020-03-10,3.647,3.612,3.656,3.593,5356164
2020-03-11,3.621,3.648,3.649,3.621,5821220
2020-03-12,3.622,3.608,3.625,3.597,4599535
2020-03-13,3.472,3.502,3.519,3.437,5978226
2020-03-16,3.400,3.414,3.436,3.382,5875412
2020-03-17,3.315,3.255,3.316,3.250,6334000
2020-03-18,3.380,3.326,3.390,3.306,7957593
2020-03-19,3.295,3.312,3.318,3.253,6403390
2020-03-20,3.317,3.346,3.361,3.305,4924920
2020-03-23,3.325,3.337,3.355,3.324,4810771
2020-03-24,3.550,3.523,3.554,3.489,5805658
2020-03-25,3.601,3.581,3.610,3.573,6295552
2020-03-26,3.568,3.572,3.594,3.567,5289191
2020-03-27,3.605,3.612,3.621,3.599,4771574
2020-03-30,3.597,3.583,3.601,3.577,4517560
2020-03-31,3.583,3.586,3.590,3.581,4865417
2020-04-01,3.505,3.528,3.537,3.503,4194710
2020-04-02,3.526,3.543,3.550,3.524,3322601
2020-04-03,3.582,3.575,3.599,3.568,2850081
2020-04-07,3.686,3.676,3.691,3.671,4207953
2020-04-08,3.643,3.641,3.654,3.639,4134609
2020-04-09,3.642,3.650,3.651,3.640,3320763
2020-04-10,3.681,3.671,3.687,3.664,4498658
2020-04-13,3.675,3.670,3.676,3.655,3649598
2020-04-14,3.698,3.712,3.736,3.685,4392421
2020-04-15,3.713,3.702,3.729,3.700,4867996
2020-04-16,3.702,3.730,3.743,3.700,4510342
2020-04-17,3.690,3.669,3.696,3.643,4261864
2020-04-20,3.634,3.651,3.661,3.633,3924339
2020-04-21,3.674,3.684,3.687,3.671,6462629
2020-04-22,3.686,3.674,3.690,3.665,4075968
2020-04-23,3.735,3.739,3.748,3.730,4001888
2020-04-24,3.741,3.769,3.775,3.739,3552750
2020-04-27,3.763,3.741,3.763,3.739,3459235
2020-04-28,3.717,3.714,3.721,3.694,4955369
2020-04-29,3.729,3.733,3.741,3.728,5448626
2020-04-30,3.728,3.746,3.751,3.723,2826046
2020-05-06,3.748,3.741,3.750,3.734,3242891
2020-05-07,3.732,3.723,3.740,3.721,4821881
2020-05-08,3.775,3.769,3.779,3.767,4441580
2020-05-11,3.751,3.754,3.760,3.747,4550917
2020-05-12,3.741,3.746,3.754,3.740,3865223
2020-05-13,3.755,3.757,3.759,3.749,4029647
2020-05-14,3.772,3.781,3.782,3.771,4156941
2020-05-15,3.818,3.834,3.842,3.814,3100704
2020-05-18,3.900,3.927,3.939,3.899,4718848
2020-05-19,3.868,3.865,3.886,3.852,5508572
2020-05-20,3.908,3.906,3.916,3.900,5428692
2020-05-21,3.890,3.870,3.894,3.867,4533163
2020-05-22,3.846,3.865,3.868,3.834,4689656
2020-05-25,3.855,3.858,3.868,3.851,4011168
2020-05-26,3.873,3.876,3.887,3.871,3186016
2020-05-27,3.845,3.835,3.847,3.830,4043431
2020-05-28,3.850,3.863,3.871,3.846,3823228
2020-05-29,3.857,3.864,3.869,3.854,4186026
2020-06-01,3.881,3.895,3.906,3.881,4790721
2020-06-02,3.885,3.888,3.896,3.883,4995947
2020-06-03,3.852,3.853,3.866,3.848,4513401
2020-06-04,3.815,3.820,3.834,3.813,5378537
2020-06-05,3.845,3.817,3.847,3.813,4231757
2020-06-08,3.774,3.783,3.788,3.771,4693825
2020-06-09,3.793,3.782,3.796,3.778,3024042
2020-06-10,3.823,3.821,3.825,3.818,2998049
2020-06-11,3.844,3.855,3.856,3.841,4926423
2020-06-12,3.850,3.854,3.856,3.841,5973088
2020-06-15,3.860,3.844,3.866,3.833,4550920
2020-06-16,3.842,3.840,3.852,3.829,6181278
2020-06-17,3.842,3.842,3.848,3.837,4431910
2020-06-18,3.847,3.836,3.847,3.834,5023258
2020-06-19,3.837,3.844,3.849,3.837,6348112
2020-06-22,3.891,3.886,3.901,3.885,6907265
2020-06-23,3.896,3.882,3.896,3.877,5972152
2020-06-24,3.913,3.910,3.915,3.904,4660702
2020-06-29,3.917,3.910,3.917,3.907,3906067
2020-06-30,3.909,3.914,3.915,3.906,6261148
2020-07-01,3.930,3.939,3.942,3.926,5016933
2020-07-02,3.901,3.903,3.908,3.898,4809736
2020-07-03,3.917,3.915,3.919,3.907,4655264
2020-07-06,3.912,3.902,3.915,3.898,5472568
2020-07-07,3.909,3.911,3.913,3.904,9546247
2020-07-08,3.929,3.928,3.932,3.925,7243902
2020-07-09,3.947,3.954,3.959,3.945,8950319
2020-07-10,3.936,3.926,3.943,3.924,4764302
2020-07-13,3.938,3.939,3.947,3.937,5805603
2020-07-14,3.928,3.935,3.940,3.928,6821053
2020-07-15,3.948,3.940,3.956,3.939,8055157
2020-07-16,3.939,3.927,3.946,3.926,4882196
2020-07-17,3.905,3.904,3.905,3.892,5173086
2020-07-20,3.916,3.925,3.926,3.916,6161894
2020-07-21,3.941,3.951,3.957,3.933,6554176
2020-07-22,4.063,4.043,4.065,4.030,6035476
2020-07-23,4.056,4.066,4.069,4.051,4955403
2020-07-24,4.084,4.109,4.111,4.083,5704010
2020-07-27,4.165,4.203,4.253,4.162,8623640
2020-07-28,4.290,4.198,4.290,4.167,6790150
2020-07-29,4.222,4.206,4.222,4.199,6257124
2020-07-30,4.215,4.174,4.218,4.157,5262939
2020-07-31,4.181,4.216,4.220,4.172,8771142
2020-08-03,4.212,4.200,4.216,4.198,5343770
2020-08-04,4.213,4.206,4.217,4.201,5836120
2020-08-05,4.299,4.320,4.327,4.274,4413314
2020-08-06,4.333,4.353,4.359,4.329,5797680
2020-08-07,4.402,4.378,4.415,4.315,4688888
2020-08-10,4.335,4.349,4.357,4.334,3452340
2020-08-11,4.323,4.253,4.335,4.234,5657916
2020-08-12,4.037,3.989,4.037,3.958,4184448
2020-08-13,4.068,4.054,4.070,4.040,6174835
2020-08-14,4.142,4.088,4.149,4.075,5361125
2020-08-17,4.092,4.129,4.133,4.086,4846468
2020-08-18,4.202,4.225,4.234,4.202,5079402
2020-08-19,4.217,4.177,4.217,4.173,4877594
2020-08-20,4.065,4.088,4.108,4.048,5626622
2020-08-21,4.090,4.092,4.101,4.074,5201514
2020-08-24,4.043,4.057,4.067,4.041,3973894
2020-08-25,4.064,4.065,4.076,4.056,4460889
