date,nav
2012-05-04,1.007
2012-05-11,2.637
2012-05-18,2.574
2012-05-21,2.588
2012-05-25,2.574
2012-05-28,2.615
2012-05-29,2.652
2012-05-30,2.643
2012-05-31,2.635
2012-06-01,2.636
2012-06-04,2.563
2012-06-05,2.563
2012-06-06,2.562
2012-06-07,2.55
2012-06-08,2.533
2012-06-11,2.568
2012-06-12,2.551
2012-06-13,2.592
2012-06-14,2.574
2012-06-15,2.583
2012-06-18,2.596
2012-06-19,2.574
2012-06-20,2.57
2012-06-21,2.531
2012-06-25,2.478
2012-06-26,2.481
2012-06-27,2.473
2012-06-28,2.452
2012-06-29,2.487
2012-06-30,2.487
2012-07-02,2.492
2012-07-03,2.495
2012-07-04,2.492
2012-07-05,2.46
2012-07-06,2.503
2012-07-09,2.447
2012-07-10,2.438
2012-07-11,2.457
2012-07-12,2.481
2012-07-13,2.483
2012-07-16,2.433
2012-07-17,2.447
2012-07-18,2.447
2012-07-19,2.458
2012-07-20,2.432
2012-07-23,2.399
2012-07-24,2.409
2012-07-25,2.393
2012-07-26,2.381
2012-07-27,2.383
2012-07-30,2.37
2012-07-31,2.367
2012-08-01,2.393
2012-08-02,2.37
2012-08-03,2.39
2012-08-06,2.422
2012-08-07,2.425
2012-08-08,2.427
2012-08-09,2.449
2012-08-10,2.437
2012-08-13,2.389
2012-08-14,2.395
2012-08-15,2.369
2012-08-16,2.357
2012-08-17,2.351
2012-08-20,2.339
2012-08-21,2.351
2012-08-22,2.333
2012-08-23,2.339
2012-08-24,2.312
2012-08-27,2.264
2012-08-28,2.274
2012-08-29,2.251
2012-08-30,2.247
2012-08-31,2.24
2012-09-03,2.265
2012-09-04,2.241
2012-09-05,2.236
2012-09-06,2.255
2012-09-07,2.355
2012-09-10,2.364
2012-09-11,2.349
2012-09-12,2.358
2012-09-13,2.336
2012-09-14,2.353
2012-09-17,2.296
2012-09-18,2.272
2012-09-19,2.283
2012-09-20,2.232
2012-09-21,2.235
2012-09-24,2.252
2012-09-25,2.246
2012-09-26,2.221
2012-09-27,2.288
2012-09-28,2.33
2012-09-30,2.33
2012-10-08,2.306
2012-10-09,2.357
2012-10-10,2.361
2012-10-11,2.339
2012-10-12,2.341
2012-10-15,2.331
2012-10-16,2.334
2012-10-17,2.337
2012-10-18,2.373
2012-10-19,2.369
2012-10-22,2.378
2012-10-23,2.348
2012-10-24,2.344
2012-10-25,2.327
2012-10-26,2.283
2012-10-29,2.271
2012-10-30,2.275
2012-10-31,2.29
2012-11-01,2.334
2012-11-02,2.343
2012-11-05,2.338
2012-11-06,2.328
2012-11-07,2.323
2012-11-08,2.281
2012-11-09,2.276
2012-11-12,2.287
2012-11-13,2.247
2012-11-14,2.258
2012-11-15,2.228
2012-11-16,2.212
2012-11-19,2.209
2012-11-20,2.199
2012-11-21,2.229
2012-11-22,2.212
2012-11-23,2.227
2012-11-26,2.209
2012-11-27,2.184
2012-11-28,2.162
2012-11-29,2.149
2012-11-30,2.173
2012-12-03,2.142
2012-12-04,2.165
2012-12-05,2.242
2012-12-06,2.238
2012-12-07,2.281
2012-12-10,2.306
2012-12-11,2.293
2012-12-12,2.302
2012-12-13,2.277
2012-12-14,2.391
2012-12-17,2.402
2012-12-18,2.371
2012-12-19,2.374
2012-12-20,2.387
2012-12-21,2.374
2012-12-24,2.383
2012-12-25,2.45
2012-12-26,2.46
2012-12-27,2.447
2012-12-28,2.482
2012-12-31,2.525
2013-01-04,2.527
2013-01-07,2.5381
2013-01-08,2.5276
2013-01-09,2.5283
2013-01-10,2.5328
2013-01-11,2.4856
2013-01-14,2.5797
2013-01-15,2.5977
2013-01-16,2.5791
2013-01-17,2.5547
2013-01-18,2.5974
2013-01-21,2.6128
2013-01-22,2.5989
2013-01-23,2.6096
2013-01-24,2.5847
2013-01-25,2.5737
2013-01-28,2.6533
2013-01-29,2.6767
2013-01-30,2.6892
2013-01-31,2.6873
2013-02-01,2.7429
2013-02-04,2.7469
2013-02-05,2.7706
2013-02-06,2.7747
2013-02-07,2.7585
2013-02-08,2.7705
2013-02-18,2.7362
2013-02-19,2.6846
2013-02-20,2.7016
2013-02-21,2.61
2013-02-22,2.5959
2013-02-25,2.6041
2013-02-26,2.5669
2013-02-27,2.5938
2013-02-28,2.6718
2013-03-01,2.6669
2013-03-04,2.5441
2013-03-05,2.6204
2013-03-06,2.6479
2013-03-07,2.6175
2013-03-08,2.6053
2013-03-11,2.5908
2013-03-12,2.554
2013-03-13,2.5259
2013-03-14,2.5325
2013-03-15,2.538
2013-03-18,2.5009
2013-03-19,2.5233
2013-03-20,2.6075
2013-03-21,2.6125
2013-03-22,2.6158
2013-03-25,2.6107
2013-03-26,2.5729
2013-03-27,2.5813
2013-03-28,2.4979
2013-03-29,2.4942
2013-04-01,2.4926
2013-04-02,2.4865
2013-04-03,2.4844
2013-04-08,2.4736
2013-04-09,2.4905
2013-04-10,2.4866
2013-04-11,2.4793
2013-04-12,2.4639
2013-04-15,2.4385
2013-04-16,2.4609
2013-04-17,2.4598
2013-04-18,2.466
2013-04-19,2.5347
2013-04-22,2.5315
2013-04-23,2.4505
2013-04-24,2.4963
2013-04-25,2.4687
2013-04-26,2.4482
2013-05-02,2.4502
2013-05-03,2.4938
2013-05-06,2.5267
2013-05-07,2.5308
2013-05-08,2.5438
2013-05-09,2.5289
2013-05-10,2.542
2013-05-13,2.5319
2013-05-14,2.4947
2013-05-15,2.5084
