date,close
2020-01-02,1.765
2020-01-03,1.764
2020-01-06,1.788
2020-01-07,1.822
2020-01-08,1.792
2020-01-09,1.839
2020-01-10,1.831
2020-01-13,1.862
2020-01-14,1.850
2020-01-15,1.847
2020-01-16,1.856
2020-01-17,1.858
2020-01-20,1.905
2020-01-21,1.892
2020-01-22,1.918
2020-01-23,1.853
2020-02-03,1.708
2020-02-04,1.816
2020-02-05,1.871
2020-02-06,1.930
2020-02-07,1.940
2020-02-10,1.961
2020-02-11,1.947
2020-02-12,2.006
2020-02-13,1.988
2020-02-14,1.987
2020-02-17,2.071
2020-02-18,2.090
2020-02-19,2.054
2020-02-20,2.105
2020-02-21,2.145
2020-02-24,2.178
2020-02-25,2.195
2020-02-26,2.102
2020-02-27,2.111
2020-02-28,1.995
2020-03-02,2.054
2020-03-03,2.092
2020-03-04,2.088
2020-03-05,2.121
2020-03-06,2.111
2020-03-09,2.013
2020-03-10,2.063
2020-03-11,2.024
2020-03-12,1.971
2020-03-13,1.952
2020-03-16,1.832
2020-03-17,1.842
2020-03-18,1.818
2020-03-19,1.825
2020-03-20,1.847
2020-03-23,1.761
2020-03-24,1.806
2020-03-25,1.860
2020-03-26,1.853
2020-03-27,1.830
2020-03-30,1.791
2020-03-31,1.795
2020-04-01,1.792
2020-04-02,1.844
2020-04-03,1.834
2020-04-07,1.894
2020-04-08,1.890
2020-04-09,1.921
2020-04-10,1.877
2020-04-13,1.853
2020-04-14,1.909
2020-04-15,1.899
2020-04-16,1.932
2020-04-17,1.943
2020-04-20,1.969
2020-04-21,1.949
2020-04-22,1.967
2020-04-23,1.951
2020-04-24,1.930
2020-04-27,1.939
2020-04-28,1.951
2020-04-29,1.952
2020-04-30,1.993
2020-05-06,2.029
2020-05-07,2.025
2020-05-08,2.042
2020-05-11,2.024
2020-05-12,2.043
2020-05-13,2.058
2020-05-14,2.036
2020-05-15,2.042
2020-05-18,2.039
2020-05-19,2.061
2020-05-20,2.041
2020-05-21,2.020
2020-05-22,1.972
2020-05-25,1.975
2020-05-26,2.038
2020-05-27,1.997
2020-05-28,1.982
2020-05-29,2.006
2020-06-01,2.082
2020-06-02,2.067
2020-06-03,2.060
2020-06-04,2.073
2020-06-05,2.087
2020-06-08,2.073
2020-06-09,2.102
2020-06-10,2.122
2020-06-11,2.119
2020-06-12,2.141
2020-06-15,2.141
2020-06-16,2.183
2020-06-17,2.188
2020-06-18,2.194
2020-06-19,2.238
2020-06-22,2.263
2020-06-23,2.307
2020-06-24,2.307
2020-06-29,2.295
2020-06-30,2.359
2020-07-01,2.342
2020-07-02,2.350
2020-07-03,2.380
2020-07-06,2.450
2020-07-07,2.503
2020-07-08,2.574
2020-07-09,2.674
2020-07-10,2.685
2020-07-13,2.802
2020-07-14,2.767
2020-07-15,2.722
2020-07-16,2.558
2020-07-17,2.583
2020-07-20,2.611
2020-07-21,2.643
2020-07-22,2.678
2020-07-23,2.706
2020-07-24,2.537
2020-07-27,2.540
2020-07-28,2.573
2020-07-29,2.680
2020-07-30,2.652
2020-07-31,2.708
2020-08-03,2.774
2020-08-04,2.738
2020-08-05,2.763
2020-08-06,2.719
2020-08-07,2.657
2020-08-10,2.641
2020-08-11,2.600
2020-08-12,2.548
2020-08-13,2.535
2020-08-14,2.579
2020-08-17,2.607
2020-08-18,2.605
2020-08-19,2.524
2020-08-20,2.503
2020-08-21,2.546
2020-08-24,2.597
2020-08-25,2.611
2020-08-26,2.551
2020-08-27,2.602
2020-08-28,2.666
2020-08-31,2.637
2020-09-01,2.658
2020-09-02,2.676
2020-09-03,2.653
2020-09-04,2.638
2020-09-07,2.549
2020-09-08,2.564
2020-09-09,2.440
2020-09-10,2.403
2020-09-11,2.449
2020-09-14,2.484
2020-09-15,2.504
2020-09-16,2.470
2020-09-17,2.467
2020-09-18,2.513
2020-09-21,2.480
2020-09-22,2.469
2020-09-23,2.508
2020-09-24,2.454
2020-09-25,2.457
2020-09-28,2.434
2020-09-29,2.479
2020-09-30,2.489
2020-10-09,2.581
2020-10-12,2.683
2020-10-13,2.688
2020-10-14,2.668
2020-10-15,2.650
2020-10-16,2.634
2020-10-19,2.600
2020-10-20,2.645
2020-10-21,2.612
2020-10-22,2.582
2020-10-23,2.516
2020-10-26,2.533
2020-10-27,2.560
2020-10-28,2.577
2020-10-29,2.607
2020-10-30,2.563
2020-11-02,2.617
2020-11-03,2.649
2020-11-04,2.658
2020-11-05,2.690
2020-11-06,2.637
2020-11-09,2.719
2020-11-10,2.674
2020-11-11,2.595
2020-11-12,2.607
2020-11-13,2.619
2020-11-16,2.620
2020-11-17,2.572
2020-11-18,2.534
2020-11-19,2.556
2020-11-20,2.576
2020-11-23,2.593
2020-11-24,2.582
2020-11-25,2.528
2020-11-26,2.522
2020-11-27,2.532
2020-11-30,2.541
2020-12-01,2.602
2020-12-02,2.593
2020-12-03,2.619
2020-12-04,2.637
2020-12-07,2.628
2020-12-08,2.646
2020-12-09,2.598
2020-12-10,2.627
2020-12-11,2.601
2020-12-14,2.641
2020-12-15,2.667
2020-12-16,2.667
2020-12-17,2.694
2020-12-18,2.688
2020-12-21,2.778
2020-12-22,2.718
2020-12-23,2.745
2020-12-24,2.726
2020-12-25,2.749
2020-12-28,2.745
2020-12-29,2.717
2020-12-30,2.799
2020-12-31,2.866
2021-01-04,2.976
2021-01-05,2.988
2021-01-06,3.003
2021-01-07,3.056
2021-01-08,3.036
2021-01-11,2.989
2021-01-12,3.076
2021-01-13,3.025
2021-01-14,2.987
2021-01-15,2.990
2021-01-18,3.046
2021-01-19,2.976
2021-01-20,3.096
2021-01-21,3.176
2021-01-22,3.241
2021-01-25,3.242
2021-01-26,3.152
2021-01-27,3.166
2021-01-28,3.057
2021-01-29,3.029
2021-02-01,3.056
2021-02-02,3.118
2021-02-03,3.106
2021-02-04,3.098
2021-02-05,3.084
2021-02-09,3.222
2021-02-10,3.293
2021-02-18,3.202
2021-02-19,3.170
2021-02-22,3.032
2021-02-23,3.009
2021-02-24,2.904
2021-02-25,2.878
2021-02-26,2.814
2021-03-01,2.894
2021-03-02,2.859
2021-03-03,2.900
2021-03-04,2.751
2021-03-05,2.772
2021-03-08,2.633
2021-03-09,2.547
2021-03-10,2.586
2021-03-11,2.650
2021-03-12,2.658
2021-03-15,2.555
2021-03-16,2.579
2021-03-17,2.607
2021-03-18,2.650
2021-03-19,2.579
2021-03-22,2.607
2021-03-23,2.579
2021-03-24,2.543
2021-03-25,2.567
2021-03-26,2.650
2021-03-29,2.637
2021-03-30,2.673
2021-03-31,2.665
2021-04-01,2.718
2021-04-02,2.756
2021-04-06,2.730
2021-04-07,2.707
2021-04-08,2.728
2021-04-09,2.690
2021-04-12,2.627
2021-04-13,2.649
2021-04-14,2.707
2021-04-15,2.698
2021-04-16,2.688
2021-04-19,2.798
2021-04-20,2.791
2021-04-21,2.814
2021-04-22,2.837
2021-04-23,2.891
2021-04-26,2.863
2021-04-27,2.884
2021-04-28,2.949
2021-04-29,2.952
2021-04-30,2.989
2021-05-06,2.904
2021-05-07,2.819
2021-05-10,2.827
2021-05-11,2.823
2021-05-12,2.865
2021-05-13,2.845
2021-05-14,2.937
2021-05-17,3.007
2021-05-18,2.988
2021-05-19,3.012
2021-05-20,3.043
2021-05-21,3.012
2021-05-24,3.036
2021-05-25,3.119
2021-05-26,3.095
2021-05-27,3.118
2021-05-28,3.121
2021-05-31,3.195
2021-06-01,3.188
2021-06-02,3.133
2021-06-03,3.099
2021-06-04,3.141
2021-06-07,3.122
2021-06-08,3.105
2021-06-09,3.100
2021-06-10,3.179
2021-06-11,3.195
2021-06-15,3.155
2021-06-16,3.024
2021-06-17,3.088
2021-06-18,3.137
2021-06-21,3.166
2021-06-22,3.174
2021-06-23,3.217
2021-06-24,3.174
2021-06-25,3.243
2021-06-28,3.305
2021-06-29,3.297
2021-06-30,3.373
2021-07-01,3.340
2021-07-02,3.227
2021-07-05,3.250
2021-07-06,3.196
2021-07-07,3.305
2021-07-08,3.322
2021-07-09,3.303
2021-07-12,3.427
2021-07-13,3.411
2021-07-14,3.382
2021-07-15,3.429
2021-07-16,3.328
2021-07-19,3.350
2021-07-20,3.356
2021-07-21,3.455
2021-07-22,3.438
2021-07-23,3.367
2021-07-26,3.270
2021-07-27,3.140
2021-07-28,3.183
2021-07-29,3.358
2021-07-30,3.328
2021-08-02,3.393
2021-08-03,3.363
2021-08-04,3.446
2021-08-05,3.419
2021-08-06,3.386
2021-08-09,3.348
2021-08-10,3.366
2021-08-11,3.326
2021-08-12,3.280
2021-08-13,3.249
2021-08-16,3.206
2021-08-17,3.126
2021-08-18,3.160
2021-08-19,3.177
2021-08-20,3.100
2021-08-23,3.195
2021-08-24,3.225
2021-08-25,3.241
2021-08-26,3.164
2021-08-27,3.158
2021-08-30,3.164
2021-08-31,3.106
2021-09-01,3.094
2021-09-02,3.046
2021-09-03,3.010
2021-09-06,3.129
2021-09-07,3.147
2021-09-08,3.123
2021-09-09,3.126
2021-09-10,3.135
2021-09-13,3.095
2021-09-14,3.140
2021-09-15,3.105
2021-09-16,3.035
2021-09-17,3.097
2021-09-22,3.068
2021-09-23,3.086
2021-09-24,3.109
2021-09-27,3.130
2021-09-28,3.114
2021-09-29,3.083
2021-09-30,3.148
2021-10-08,3.138
2021-10-11,3.096
2021-10-12,3.042
2021-10-13,3.109
2021-10-14,3.112
2021-10-15,3.176
2021-10-18,3.172
2021-10-19,3.191
2021-10-20,3.185
2021-10-21,3.174
2021-10-22,3.185
2021-10-25,3.236
2021-10-26,3.221
2021-10-27,3.205
2021-10-28,3.178
2021-10-29,3.249
2021-11-01,3.224
2021-11-02,3.228
2021-11-03,3.222
2021-11-04,3.260
2021-11-05,3.248
2021-11-08,3.278
2021-11-09,3.300
2021-11-10,3.296
2021-11-11,3.324
2021-11-12,3.324
2021-11-15,3.295
2021-11-16,3.282
2021-11-17,3.317
2021-11-18,3.274
2021-11-19,3.313
2021-11-22,3.393
2021-11-23,3.380
2021-11-24,3.362
2021-11-25,3.368
2021-11-26,3.364
2021-11-29,3.389
2021-11-30,3.386
2021-12-01,3.365
2021-12-02,3.355
2021-12-03,3.370
2021-12-06,3.294
2021-12-07,3.266
2021-12-08,3.314
2021-12-09,3.353
2021-12-10,3.370
2021-12-13,3.389
2021-12-14,3.384
2021-12-15,3.355
2021-12-16,3.378
2021-12-17,3.328
2021-12-20,3.225
2021-12-21,3.247
2021-12-22,3.260
2021-12-23,3.269
2021-12-24,3.196
2021-12-27,3.190
2021-12-28,3.226
2021-12-29,3.182
2021-12-30,3.219
2021-12-31,3.218
2022-01-04,3.154
2022-01-05,3.064
2022-01-06,3.034
2022-01-07,3.003
2022-01-10,2.998
2022-01-11,2.960
2022-01-12,3.035
2022-01-13,2.990
2022-01-14,3.015
2022-01-17,3.068
2022-01-18,3.047
2022-01-19,2.985
2022-01-20,2.975
2022-01-21,2.941
2022-01-24,2.962
2022-01-25,2.881
2022-01-26,2.906
2022-01-27,2.815
2022-01-28,2.819
2022-02-07,2.830
2022-02-08,2.758
2022-02-09,2.791
2022-02-10,2.740
2022-02-11,2.660
2022-02-14,2.646
2022-02-15,2.726
2022-02-16,2.725
2022-02-17,2.744
2022-02-18,2.739
2022-02-21,2.713
2022-02-22,2.678
2022-02-23,2.754
2022-02-24,2.693
2022-02-25,2.763
2022-02-28,2.786
2022-03-01,2.795
2022-03-02,2.741
2022-03-03,2.704
2022-03-04,2.662
2022-03-07,2.543
2022-03-08,2.507
2022-03-09,2.483
2022-03-10,2.547
2022-03-11,2.583
2022-03-14,2.490
2022-03-15,2.421
2022-03-16,2.552
2022-03-17,2.624
2022-03-18,2.635
2022-03-21,2.636
2022-03-22,2.602
2022-03-23,2.629
2022-03-24,2.620
2022-03-25,2.565
2022-03-28,2.512
2022-03-29,2.511
2022-03-30,2.610
2022-03-31,2.574
2022-04-01,2.580
